equipo,arena,latitude,longitude,logo0,color,tm,local,visitor,latitude1,longitude1
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Valencia Basket,39.45188248874301,-0.3660431016680829
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Joventut Badalona,41.4426848150727,2.232038842544811
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Casademont Zaragoza,41.699492152676626,-0.8766544769103839
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Coviran Granada,37.15424932400022,-3.5936020041126646
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Surne Bilbao Basket,43.252351650418106,-2.9261184727627896
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,BAXI Manresa,41.72553131948518,1.809883913714619
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Monbus Obradoiro,42.87640091313994,-8.530649001605413
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Río Breogán,42.99112162431948,-7.545301072767826
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Gran Canaria,28.10308200222156,-15.456896903683322
Cazoo Baskonia,Fernando Buesa Arena,42.86418354588555,-2.641617379517079,https://static.acb.com/img/www/clubes2022/CazooBaskonia-Logo-56.png,#C8102E,BKN,Cazoo Baskonia,Barça,41.3802205350011,2.1201211695310715
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Valencia Basket,39.45188248874301,-0.3660431016680829
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,BAXI Manresa,41.72553131948518,1.809883913714619
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Bàsquet Girona,41.99106442107368,2.8105742658463644
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Casademont Zaragoza,41.699492152676626,-0.8766544769103839
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Real Madrid,40.4240337619823,-3.671751201650836
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Río Breogán,42.99112162431948,-7.545301072767826
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Gran Canaria,28.10308200222156,-15.456896903683322
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Monbus Obradoiro,42.87640091313994,-8.530649001605413
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,UCAM Murcia,37.99401913800324,-1.1126044975056224
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Joventut Badalona,41.4426848150727,2.232038842544811
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Cazoo Baskonia,42.86418354588555,-2.641617379517079
Real Betis Baloncesto,Palacio Municipal de Deportes San Pablo,37.396421763093244,-5.9648958606643605,https://static.acb.com/img/www/clubes2023/RealBetisBaloncestoLogoPos.png,#058E48,BET,Real Betis Baloncesto,Unicaja,36.68279217722466,-4.460469972879309
